osm_id,name,lat,long
"35112971",Lê Quý ?ôn,10.778454,106.693951
"35113051",Calmette,10.768410,106.698855
"35113101",Lý T? Tr?ng,10.771548,106.693599
"35113101",Lý T? Tr?ng,10.771810,106.693972
"35113101",Lý T? Tr?ng,10.772073,106.694344
"35113101",Lý T? Tr?ng,10.772332,106.694718
"35113101",Lý T? Tr?ng,10.772581,106.695100
"35113101",Lý T? Tr?ng,10.772745,106.695361
"35113620",Lê Th? Riêng,10.771388,106.692819
"35113620",Lê Th? Riêng,10.771397,106.692362
"35113620",Lê Th? Riêng,10.771386,106.691905
"35113620",Lê Th? Riêng,10.771333,106.691452
"35113620",Lê Th? Riêng,10.771243,106.691004
"35113620",Lê Th? Riêng,10.771113,106.690567
"35113620",Lê Th? Riêng,10.770947,106.690142
"35113620",Lê Th? Riêng,10.770757,106.689755
"35114023",Tr??ng ??nh,10.771587,106.696385
"35114072",Lê L?i,10.772116,106.699134
"35114072",Lê L?i,10.772440,106.699452
"35114072",Lê L?i,10.772770,106.699765
"35114072",Lê L?i,10.773025,106.700006
"35114429",Ð? Quang Ð?u,10.767355,106.690608
"35114429",Ð? Quang Ð?u,10.766980,106.690863
"35114429",Ð? Quang Ð?u,10.766602,106.691114
"35114429",Ð? Quang Ð?u,10.766326,106.691286
"35114876",Tôn Th?t Tùng,10.768590,106.689802
"35114956",Tôn Th?t Tùng,10.768914,106.689539
"35114956",Tôn Th?t Tùng,10.769261,106.689247
"35114956",Tôn Th?t Tùng,10.769601,106.688946
"35114956",Tôn Th?t Tùng,10.769881,106.688696
"35115032",Cách M?ng Tháng 8,10.773642,106.689485
"35115101",Nguy?n Trãi,10.771099,106.692942
"35115101",Nguy?n Trãi,10.770837,106.692570
"35115101",Nguy?n Trãi,10.770575,106.692198
"35115101",Nguy?n Trãi,10.770313,106.691825
"35115101",Nguy?n Trãi,10.770055,106.691450
"35115101",Nguy?n Trãi,10.769796,106.691075
"35115101",Nguy?n Trãi,10.769538,106.690699
"35115101",Nguy?n Trãi,10.769321,106.690383
"120276783",Yersin,10.767343,106.697321
"120276783",Yersin,10.767647,106.697180
"120276784",Tôn Th?t Tùng,10.770148,106.688433
"120276784",Tôn Th?t Tùng,10.770464,106.688106
"120276784",Tôn Th?t Tùng,10.770631,106.687933
"192680151",Nguy?n Thái H?c,10.766803,106.696057
"192680151",Nguy?n Thái H?c,10.766427,106.696273
"192680173",Nguy?n Th? Ngh?a,10.771049,106.693529
"192680173",Nguy?n Th? Ngh?a,10.770670,106.693774
"192680173",Nguy?n Th? Ngh?a,10.770393,106.693944
"192680178",Nguy?n Th? Ngh?a,10.770358,106.694077
"192680178",Nguy?n Th? Ngh?a,10.770743,106.693837
"192680178",Nguy?n Th? Ngh?a,10.771116,106.693589
"193256696",Nguy?n Th? Minh Khai,10.776150,106.691813
"193256696",Nguy?n Th? Minh Khai,10.776484,106.692120
"193256696",Nguy?n Th? Minh Khai,10.776817,106.692430
"193256696",Nguy?n Th? Minh Khai,10.777103,106.692693
"203215338",Nguy?n Thái H?c,10.766513,106.696345
"203215338",Nguy?n Thái H?c,10.766879,106.696132
"215424982",Nguy?n Thái H?c,10.768272,106.695189
"215508133",Nguy?n Thái H?c,10.767691,106.695525
"215508133",Nguy?n Thái H?c,10.767389,106.695706
"215508134",Nguy?n Thái H?c,10.767200,106.695944
"215508254",Lê L?i,10.772165,106.699069
"215508254",Lê L?i,10.772508,106.699362
"215508254",Lê L?i,10.772838,106.699674
"215508254",Lê L?i,10.773097,106.699918
"220862996",Cách M?ng Tháng 8,10.772551,106.691316
"220862996",Cách M?ng Tháng 8,10.772326,106.691713
"220862996",Cách M?ng Tháng 8,10.772104,106.692111
"220862996",Cách M?ng Tháng 8,10.771881,106.692509
"220862996",Cách M?ng Tháng 8,10.771655,106.692904
"220862996",Cách M?ng Tháng 8,10.771489,106.693092
"220863461",Cách M?ng Tháng 8,10.772192,106.692127
"220863461",Cách M?ng Tháng 8,10.772411,106.691727
"220863461",Cách M?ng Tháng 8,10.772622,106.691341
"227739703",Nguy?n Th? Minh Khai,10.774084,106.689928
"227739703",Nguy?n Th? Minh Khai,10.774411,106.690244
"227739703",Nguy?n Th? Minh Khai,10.774682,106.690506
"245571623",Lê Lai,10.771033,106.696314
"245571623",Lê Lai,10.770860,106.695891
"245571623",Lê Lai,10.770687,106.695469
"245571623",Lê Lai,10.770514,106.695047
"245571623",Lê Lai,10.770344,106.694632
"257394825",Cách M?ng Tháng 8,10.771613,106.693149
"257394825",Cách M?ng Tháng 8,10.771844,106.692758
"257394825",Cách M?ng Tháng 8,10.772019,106.692443
"285894645",Ph?m Ng? Lão,10.767629,106.690695
"285894645",Ph?m Ng? Lão,10.767799,106.691118
"285894645",Ph?m Ng? Lão,10.767968,106.691542
"285894645",Ph?m Ng? Lão,10.768138,106.691966
"285894645",Ph?m Ng? Lão,10.768308,106.692389
"285894645",Ph?m Ng? Lão,10.768478,106.692813
"285894645",Ph?m Ng? Lão,10.768613,106.693150
"288732439",Nguy?n Th? Minh Khai,10.771405,106.687386
"288732439",Nguy?n Th? Minh Khai,10.771735,106.687698
"288732439",Nguy?n Th? Minh Khai,10.772065,106.688011
"288732439",Nguy?n Th? Minh Khai,10.772395,106.688324
"288732439",Nguy?n Th? Minh Khai,10.772724,106.688636
"288732439",Nguy?n Th? Minh Khai,10.773054,106.688949
"288732439",Nguy?n Th? Minh Khai,10.773305,106.689187
"289968627",C?ng Qu?nh,10.766816,106.687986
"289968627",C?ng Qu?nh,10.766942,106.687676
"320379106",Lê Thánh Tôn,10.772727,106.696977
"320379106",Lê Thánh Tôn,10.772497,106.696620
"326770976",Nguy?n Trãi,10.767862,106.688800
"326770976",Nguy?n Trãi,10.767540,106.688581
"326770977",Lê Lai,10.770075,106.693972
"326771006",Nam K? Kh?i Ngh?a,10.778350,106.696323
"326772491",Hàm Nghi,10.770821,106.701219
"326848022",Hàm Nghi,10.770906,106.699389
"326848022",Hàm Nghi,10.770879,106.699844
"326848022",Hàm Nghi,10.770860,106.700301
"326848022",Hàm Nghi,10.770841,106.700758
"326848022",Hàm Nghi,10.770826,106.701103
"326849844",Nguy?n Th? Minh Khai,10.774962,106.690758
"326849844",Nguy?n Th? Minh Khai,10.775294,106.691068
"326849844",Nguy?n Th? Minh Khai,10.775624,106.691381
"326849844",Nguy?n Th? Minh Khai,10.775818,106.691534
"327097648",Ngã n?m C?ng Qu?nh,10.766772,106.688229
"329878183",Nam K? Kh?i Ngh?a,10.776646,106.698151
"329878183",Nam K? Kh?i Ngh?a,10.776339,106.698487
"329878183",Nam K? Kh?i Ngh?a,10.776031,106.698822
"329878183",Nam K? Kh?i Ngh?a,10.775849,106.699017
"329878185",Nguy?n Du,10.776633,106.697828
"329878185",Nguy?n Du,10.776300,106.697519
"329878185",Nguy?n Du,10.775966,106.697211
"329878185",Nguy?n Du,10.775632,106.696903
"329878185",Nguy?n Du,10.775299,106.696594
"329878185",Nguy?n Du,10.774965,106.696285
"329878185",Nguy?n Du,10.774656,106.695956
"329878185",Nguy?n Du,10.774392,106.695584
"329878185",Nguy?n Du,10.774130,106.695212
"329878185",Nguy?n Du,10.773869,106.694838
"329878185",Nguy?n Du,10.773679,106.694566
"408162167",Bùi Th? Xuân,10.772218,106.690696
"408162167",Bùi Th? Xuân,10.771915,106.690411
"465990774",Ð? Quang Ð?u,10.768251,106.690042
"465990774",Ð? Quang Ð?u,10.767865,106.690281
"465990774",Ð? Quang Ð?u,10.767608,106.690441
"466039048",Nguy?n Th? Ngh?a,10.769440,106.694627
"466039048",Nguy?n Th? Ngh?a,10.769795,106.694422
"466112794",Tr?n H?ng ??o,10.766834,106.694498
"466112794",Tr?n H?ng ??o,10.767178,106.694796
"466112794",Tr?n H?ng ??o,10.767521,106.695093
"466112794",Tr?n H?ng ??o,10.767789,106.695326
"466130926",Ph?m H?ng Thái,10.771272,106.693677
"466130926",Ph?m H?ng Thái,10.771240,106.694132
"466130926",Ph?m H?ng Thái,10.771216,106.694588
"466130926",Ph?m H?ng Thái,10.771193,106.695045
"466130926",Ph?m H?ng Thái,10.771176,106.695383
"466200149",Ngã sáu Phù ??ng,10.771205,106.693247
"466513741",Cách M?ng Tháng 8,10.773560,106.689407
